time,moisture,battery,temperature
2022-08-03T20:43:52.043Z,676,617,306
2022-08-03T20:58:00.237Z,675,616,306
2022-08-03T21:12:08.408Z,674,616,305
2022-08-03T21:26:07.989Z,672,616,304
2022-08-03T21:40:07.583Z,670,616,305
2022-08-03T21:54:15.458Z,670,616,300
2022-08-03T22:08:14.726Z,669,616,304
2022-08-03T22:22:13.705Z,666,616,300
2022-08-03T22:36:12.687Z,665,616,304
2022-08-03T22:50:12.407Z,664,616,304
2022-08-03T23:04:10.351Z,662,616,303
2022-08-03T23:18:08.954Z,661,616,302
2022-08-03T23:32:15.890Z,661,616,302
2022-08-03T23:46:14.566Z,660,616,298
2022-08-04T00:00:23.669Z,659,615,302
2022-08-04T00:14:19.869Z,657,615,298
2022-08-04T00:28:26.521Z,655,615,302
2022-08-04T00:42:24.866Z,653,615,297
2022-08-04T00:56:22.737Z,652,615,300
2022-08-04T01:10:22.578Z,652,615,300
2022-08-04T01:24:18.476Z,649,615,300
2022-08-04T01:38:24.822Z,649,614,296
2022-08-04T01:52:22.557Z,648,614,296
2022-08-04T02:06:20.364Z,646,614,296
2022-08-04T02:20:21.424Z,646,614,295
2022-08-04T02:34:15.447Z,646,614,300
2022-08-04T02:48:21.825Z,646,614,298
2022-08-04T03:02:18.922Z,645,614,300
2022-08-04T03:16:16.674Z,646,614,299
2022-08-04T03:30:16.270Z,644,614,299
2022-08-04T03:44:11.655Z,645,614,296
2022-08-04T03:58:17.673Z,643,614,298
2022-08-04T04:12:16.924Z,642,614,294
2022-08-04T04:26:20.702Z,642,614,298
2022-08-04T04:40:17.841Z,642,613,298
2022-08-04T04:54:14.969Z,640,613,298
2022-08-04T05:08:12.083Z,641,613,294
2022-08-04T05:22:19.650Z,639,613,298
2022-08-04T05:36:14.984Z,638,613,294
2022-08-04T05:50:11.759Z,637,613,294
2022-08-04T06:04:10.760Z,638,613,298
2022-08-04T06:18:05.747Z,638,612,298
2022-08-04T06:32:03.016Z,639,612,298
2022-08-04T06:46:00.241Z,639,612,298
2022-08-04T06:59:57.261Z,639,612,298
2022-08-04T07:13:54.795Z,640,612,298
2022-08-04T07:27:51.848Z,639,612,298
2022-08-04T07:41:57.924Z,641,612,294
2022-08-04T07:56:03.351Z,640,612,298
2022-08-04T08:10:00.722Z,638,612,300
2022-08-04T08:23:58.196Z,640,612,294
2022-08-04T08:37:55.884Z,642,612,296
2022-08-04T08:51:53.637Z,644,612,302
2022-08-04T09:05:52.323Z,647,612,302
2022-08-04T09:19:50.728Z,645,612,302
2022-08-04T09:33:49.371Z,647,612,302
2022-08-04T09:47:47.979Z,646,612,304
2022-08-04T10:01:47.248Z,653,612,305
2022-08-04T10:15:46.848Z,652,612,304
2022-08-04T10:29:46.130Z,654,611,305
2022-08-04T10:43:46.016Z,659,611,307
2022-08-04T10:57:46.226Z,660,611,302
2022-08-04T11:11:54.679Z,661,611,302
2022-08-04T11:25:55.147Z,660,611,306
2022-08-04T11:39:56.624Z,664,611,304
2022-08-04T11:53:54.681Z,662,611,306
2022-08-04T12:08:03.384Z,668,611,302
2022-08-04T12:22:03.051Z,666,611,304
2022-08-04T12:36:02.921Z,669,611,301
2022-08-04T12:50:17.260Z,668,610,306
2022-08-04T13:04:19.742Z,669,611,306
2022-08-04T13:18:18.576Z,670,610,300
2022-08-04T13:32:17.879Z,671,610,300
2022-08-04T13:46:19.301Z,672,610,301
2022-08-04T14:00:25.308Z,674,610,306
2022-08-04T14:14:24.919Z,673,610,306
2022-08-04T14:28:24.489Z,674,610,306
2022-08-04T14:42:32.700Z,675,610,306
2022-08-04T14:56:40.859Z,676,610,303
2022-08-04T15:10:49.091Z,676,610,302
2022-08-04T15:24:49.089Z,679,610,306
2022-08-04T15:38:57.128Z,678,610,302
2022-08-04T15:52:56.678Z,677,610,305
2022-08-04T16:06:58.117Z,678,609,302
2022-08-04T17:49:54.146Z,719,609,298
